ROIid,Volume,Peak,Mean,SD,Peak_Magnitude_XYZ_1,Peak_Magnitude_XYZ_2,Peak_Magnitude_XYZ_3,hemisphere,lobe,id_Yeo7,P_Yeo7,name_Yeo7,id_WFU,P_WFU,name_WFU,id_AAL2,P_AAL2,name_AAL2,id_HO_CS,P_HO_CS,name_HO_CS,id_Yeo17,P_Yeo17,name_Yeo17,id_Shirer2012,P_Shirer2012,name_Shirer2012,id_Cerb,P_Cerb,name_Cerb,id_BNA,P_BNA,name_BNA
14,628,5.043747425,3.834802662,0.485882664,-42,-82,16,Left,Occipital,1,0.643312102,Visual,57,0.48566879,BA.19,55,0.828025478,Occipital_Mid_L,37,0.842356688,Lateral Occipital Cortex superior,5,0.571656051,17Network_05,13,0.243630573,vDMN,0,0,null,135,0.554140127,A39c
15,2365,5.034071922,3.576062542,0.334647766,-32,-30,56,Left,Frontal,2,0.451585624,Somatomotor,48,0.412262156,BA.06,1,0.460465116,Precentral_L,22,0.470613108,Precentral Gyrus,3,0.402536998,17Network_03,12,0.266807611,Sensorimotor,0,0,null,55,0.176744186,A6cdl
16,444,4.893193722,3.582146339,0.350164985,42,-34,-22,Right,Temporal,3,0.493243243,Dorsal Attention,32,0.527027027,BA.37,94,0.529279279,Temporal_Inf_R,31,0.423423423,ITG temporooccipital,5,0.657657658,17Network_05,13,0.040540541,vDMN,0,0,null,108,0.466216216,A37lv
17,204,4.874501228,3.770931767,0.334235177,-32,-50,62,Left,Parietal,2,0.549019608,Somatomotor,77,0.343137255,BA.40,63,0.710784314,Parietal_Sup_L,33,1,Superior Parietal Lobule,3,0.426470588,17Network_03,14,0.37254902,Visuospatial,0,0,null,131,0.416666667,A7pc
18,1299,4.859084606,3.59853376,0.378925099,-10,12,56,Left,Frontal,4,0.505003849,Ventral Attention,48,0.380292533,BA.06,15,0.308698999,Supp_Motor_Area_L,18,0.41878368,Superior Frontal Gyrus,7,0.383371824,17Network_07,1,0.427251732,anterior_Salience,0,0,null,1,0.200153965,A8m
19,444,4.640784264,3.524921849,0.32965887,-36,-12,44,Left,Frontal,2,0.313063063,Somatomotor,48,0.63963964,BA.06,1,0.810810811,Precentral_L,22,0.963963964,Precentral Gyrus,4,0.265765766,17Network_04,14,0.231981982,Visuospatial,0,0,null,63,0.313063063,A6cvl
22,223,4.542545795,3.441604285,0.320323562,0,18,2,Medial,subcorticalGM,7,0.089686099,Default,21,0.00896861,BA.25,75,0.147982063,Caudate_L,42,0.403587444,Subcallosal Cortex,16,0.085201794,17Network_16,0,0,null,0,0,null,219,0.062780269,vCa
23,653,4.492051125,3.552798278,0.299205871,24,32,-4,Right,subcorticalGM,5,0.056661562,Limbic,42,0.091883614,BA.47,76,0.10719755,Caudate_R,48,0.104134763,Frontal Orbital Cortex,10,0.056661562,17Network_10,0,0,null,0,0,null,220,0.050535988,vCa
20,663,4.365152836,3.446312189,0.248739731,38,-36,50,Right,Parietal,2,0.523378582,Somatomotor,3,0.330316742,BA.03,62,0.823529412,Postcentral_R,32,0.754147813,Postcentral Gyrus,3,0.428355958,17Network_03,12,0.177978884,Sensorimotor,0,0,null,160,0.33785822,A2
21,845,4.293081284,3.426610518,0.23525051,34,-10,60,Right,Frontal,2,0.576331361,Somatomotor,6,0.636686391,BA.06,2,0.585798817,Precentral_R,22,0.74556213,Precentral Gyrus,3,0.521893491,17Network_03,12,0.426035503,Sensorimotor,0,0,null,56,0.40591716,A6cdl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROIid,id_Yeo17,,ROIid,id_Yeo17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5,,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7,,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16,,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10,,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,,22,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
